     value      count   proportion

     19.00          1        0.000
     20.00         10        0.000
     21.00         13        0.000
     22.00         25        0.000
     23.00         74        0.001
     24.00        109        0.001
     25.00        217        0.002
     26.00        382        0.004
     27.00        683        0.007
     28.00       1208        0.012
     29.00       1970        0.020
     30.00       2992        0.030
     31.00       4267        0.043
     32.00       5764        0.058
     33.00       7249        0.072
     34.00       8740        0.087
     35.00       9852        0.099
     36.00      10287        0.103
     37.00      10410        0.104
     38.00       9608        0.096
     39.00       8128        0.081
     40.00       6656        0.067
     41.00       4829        0.048
     42.00       3169        0.032
     43.00       1780        0.018
     44.00        964        0.010
     45.00        417        0.004
     46.00        151        0.002
     47.00         34        0.000
     48.00         11        0.000

sample size ........... =  100000
mean .................. =  35.995
standard deviation .... =   3.763
