     value      count   proportion

      0.00         32     0.000032
      1.00        310     0.000310
      2.00       1596     0.001596
      3.00       5977     0.005977
      4.00      15927     0.015927
      5.00      33949     0.033949
      6.00      59936     0.059936
      7.00      89045     0.089045
      8.00     114646     0.114646
      9.00     130354     0.130354
     10.00     131613     0.131613
     11.00     119740     0.119740
     12.00      98858     0.098858
     13.00      74487     0.074487
     14.00      51046     0.051046
     15.00      32584     0.032584
     16.00      19286     0.019286
     17.00      10675     0.010675
     18.00       5475     0.005475
     19.00       2522     0.002522
     20.00       1142     0.001142
     21.00        478     0.000478
     22.00        200     0.000200
     23.00         79     0.000079
     24.00         29     0.000029
     25.00         11     0.000011
     26.00          1     0.000001
     27.00          2     0.000002

sample size ........... = 1000000
mean .................. =   9.996
standard deviation .... =   3.001
